,date,line,emsg
24,2022-05-04 23:51:10,"os.chdir(""C:\\PyTest"") # 作業用ディレクトリを変更",FileNotFoundError: [Errno 2] No such file or directory: 'C:\\PyTest'
25,2022-05-05 11:53:55,  if i>n:,KeyboardInterrupt: 
26,2022-05-05 12:39:18,  ykn=(d*1.01),NameError: name 'd' is not defined
27,2022-05-05 13:28:07,"sns.countplot(x='自由時間', data='G3')",AttributeError: 'str' object has no attribute 'get'
28,2022-05-05 13:33:02,"sns.countplot(x='自由時間', y='G3')",ValueError: Cannot pass values for both `x` and `y`
29,2022-05-05 13:33:09,"sns.countplot(x='自由時間', y='G3')",ValueError: Cannot pass values for both `x` and `y`
30,2022-05-05 13:43:19,"sns.plot(df, x='外出', y='G3')",AttributeError: module 'seaborn' has no attribute 'plot'
31,2022-05-05 16:21:06,"    plt.subplot(4,4,i+1)","ValueError: num must be 1 <= num <= 16, not 17"
32,2022-05-06 00:28:46,for i in range(n):,TypeError: 'tuple' object cannot be interpreted as an integer
33,2022-05-06 00:53:02,  if moji.index(x[i]+1)!=x[i+1]:,"TypeError: can only concatenate str (not ""int"") to str"
34,2022-05-06 01:01:53,  if moji.index(str(int(x[i])+1))!=x[i+1]:,ValueError: substring not found
35,2022-05-06 01:13:11,x=input(),KeyboardInterrupt: 
36,2022-05-06 01:35:53,"  s=s+[list(map(int,input().split()))]",ValueError: invalid literal for int() with base 10: '##..'
37,2022-05-06 01:36:39,  s=s+[list(map(input().split()))],TypeError: map() must have at least two arguments.
38,2022-05-06 01:48:38,  if s[y][i]=='.':,IndexError: list index out of range
39,2022-05-06 01:49:07,  if s[y][i]=='.':,IndexError: list index out of range
40,2022-05-06 02:05:27,  if s[y][i]=='.':,IndexError: list index out of range
41,2022-05-06 03:42:14,      if (a[i][0]-a[k][0])*(s[j][1]-s[k][1])!=(a[j][0]-a[k][0])*(a[i][1]-a[k][1]):,TypeError: unsupported operand type(s) for -: 'str' and 'str'
42,2022-05-06 03:42:58,      if (a[i][0]-a[k][0])*(s[j][1]-s[k][1])!=(a[j][0]-a[k][0])*(a[i][1]-a[k][1]):,TypeError: unsupported operand type(s) for -: 'str' and 'str'
43,2022-05-06 04:13:30,if sum(set(l))!=0:,TypeError: unsupported operand type(s) for +: 'int' and 'str'
44,2022-05-06 04:18:07,"a=list(map(int,input().split()))",KeyboardInterrupt: 
45,2022-05-06 04:26:56,  t=t+int([st[1]]),"TypeError: int() argument must be a string, a bytes-like object or a number, not 'list'"
46,2022-05-06 04:46:33,b=a.sorted,AttributeError: 'list' object has no attribute 'sorted'
47,2022-05-06 04:50:08,,KeyboardInterrupt: 
48,2022-05-06 05:50:05,    ss[i]=ss[i]+[s[i+j]],"TypeError: can only concatenate str (not ""list"") to str"
49,2022-05-06 06:10:32,  ss[i]=ss[i]+[kari],"TypeError: can only concatenate str (not ""list"") to str"
50,2022-05-06 06:54:09,  i=a.indet(max(a)),AttributeError: 'list' object has no attribute 'indet'
51,2022-05-06 07:09:06,while ma<w:,TypeError: '<' not supported between instances of 'list' and 'int'
52,2022-05-06 07:30:13,    1[i][1]=w-g,TypeError: 'int' object is not subscriptable
53,2022-05-06 08:45:11,"sns.kdeplot(df.groupby('アルコール').get_group('1')['G3'], shade = True, label = '1')",KeyError: 'アルコール'
54,2022-05-06 08:45:48,"sns.pairplot(df, hue='アルコール')",KeyError: 'アルコール'
55,2022-05-06 09:08:15,"df[['アルコール','パリピ']],value_counts()",NameError: name 'value_counts' is not defined
56,2022-05-06 14:44:31,"    rho = corr(df[column], df['G3'])",NameError: name 'corr' is not defined
57,2022-05-07 11:43:19,n=N[-1],TypeError: 'int' object is not subscriptable
58,2022-05-08 00:55:10,max(x*y),TypeError: 'int' object is not iterable
59,2022-05-08 00:56:27,print(max(x*y)),TypeError: 'int' object is not iterable
60,2022-05-08 05:15:47,"sns.histplot(x='G3', hue='性別', data=df, binwidth=1, palette={'1':'red', '2':'green', '3':'blue', '4':'yellow', '5':'purple'})","ValueError: The palette dictionary is missing keys: {'女性', '男性'}"
61,2022-05-08 05:16:08,"sns.histplot(x='G3', hue='外出', data=df, binwidth=1, palette={'1':'red', '2':'green', '3':'blue', '4':'yellow', '5':'purple'})","ValueError: The palette dictionary is missing keys: {1, 2, 3, 4, 5}"
62,2022-05-08 06:41:19,"sns.boxplot(x=df['性別'], y=df['G3'],color=['red','blue'])","ValueError: Invalid RGBA argument: ['red', 'blue']"
63,2022-05-08 14:58:09,"sns.distplot(df, x='アルコール', row='G3')",TypeError: distplot() got an unexpected keyword argument 'row'
64,2022-05-08 16:07:07,df.groupby('兄弟姉妹')['G3'].describe(),"ValueError: index must be a MultiIndex to unstack, <class 'pandas.core.indexes.base.Index'> was passed"
65,2022-05-09 00:59:52,"sns.countplot(x='欠席',hue='G3', data=df)",ValueError: Could not interpret input '欠席'
66,2022-05-09 02:10:25,"plt.hist(df['性別'],df[g3])",NameError: name 'g3' is not defined
67,2022-05-09 02:10:32,"plt.hist(df['性別'],df[G3])",NameError: name 'G3' is not defined
68,2022-05-09 02:13:51,plt.hist(df['女性']),KeyError: '女性'
69,2022-05-09 03:08:01,"print(corr(df['女性'], df['G3']))",KeyError: '女性'
70,2022-05-09 03:08:08,,"TypeError: ufunc 'true_divide' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"
71,2022-05-09 04:11:41,math.floor,NameError: name 'math' is not defined
72,2022-05-09 04:33:38,"plt.scatter(df['部屋数'], df['住宅価格'])",NameError: name 'plt' is not defined
73,2022-05-09 04:33:52,"plt.figure(figure=(6,6))",TypeError: __init__() got an unexpected keyword argument 'figure'
74,2022-05-09 04:33:57,df = pd.read_csv('boston.csv'),NameError: name 'pd' is not defined
75,2022-05-09 04:34:01,"plt.figure(figuresize=(6,6))",TypeError: __init__() got an unexpected keyword argument 'figuresize'
76,2022-05-09 04:34:20,"plt.figure(figusize=(6,6))",TypeError: __init__() got an unexpected keyword argument 'figusize'
77,2022-05-09 04:34:40,"plt.figure(figsize[7,7])",NameError: name 'figsize' is not defined
78,2022-05-09 04:34:42,"plt.scatter(df['部屋数'], df['住宅価格'],alpa=0.5)",AttributeError: 'PathCollection' object has no property 'alpa'
79,2022-05-09 04:34:51,"plt.scatter(df['部屋数'], df['住宅価格'],alph=0.5)",AttributeError: 'PathCollection' object has no property 'alph'
80,2022-05-09 04:35:21,"plt.scatter(df['部屋数'], df['住宅価格'])",NameError: name 'df' is not defined
81,2022-05-09 04:35:46,"plt.figure(figureSize=(6,6))",TypeError: __init__() got an unexpected keyword argument 'figureSize'
82,2022-05-09 04:36:32,"plt.scater(df['部屋数'],df['住宅価格'], alpha=0.3)",AttributeError: module 'matplotlib.pyplot' has no attribute 'scater'
83,2022-05-09 04:39:04,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
84,2022-05-09 04:39:46,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
85,2022-05-09 04:40:40,"plt.figure(figuresize=(6, 6))",TypeError: __init__() got an unexpected keyword argument 'figuresize'
86,2022-05-09 04:40:50,"plt.scatter(df['年齢'],df['G3'])",KeyError: '年齢'
87,2022-05-09 04:41:38,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
88,2022-05-09 04:41:38,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
89,2022-05-09 04:41:38,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
90,2022-05-09 04:41:45,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
91,2022-05-09 04:41:45,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
92,2022-05-09 04:41:46,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
93,2022-05-09 04:41:46,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
94,2022-05-09 04:41:50,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
95,2022-05-09 04:41:50,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
96,2022-05-09 04:41:55,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
97,2022-05-09 04:41:55,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
98,2022-05-09 04:41:56,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
99,2022-05-09 04:41:57,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
100,2022-05-09 04:41:57,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
101,2022-05-09 04:41:58,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
102,2022-05-09 04:41:59,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
103,2022-05-09 04:42:02,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
104,2022-05-09 04:42:07,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
105,2022-05-09 04:42:10,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
106,2022-05-09 04:42:16,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
107,2022-05-09 04:42:17,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
108,2022-05-09 04:42:17,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
109,2022-05-09 04:42:18,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
110,2022-05-09 04:42:19,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
111,2022-05-09 04:42:19,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
112,2022-05-09 04:42:21,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
113,2022-05-09 04:42:22,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
114,2022-05-09 04:42:23,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
115,2022-05-09 04:42:23,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
116,2022-05-09 04:42:23,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
117,2022-05-09 04:42:24,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
118,2022-05-09 04:42:24,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
119,2022-05-09 04:42:24,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
120,2022-05-09 04:42:25,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
121,2022-05-09 04:42:27,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
122,2022-05-09 04:42:29,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
123,2022-05-09 04:42:29,array([19.94203311]),NameError: name 'array' is not defined
124,2022-05-09 04:42:30,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
125,2022-05-09 04:42:32,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
126,2022-05-09 04:42:32,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
127,2022-05-09 04:42:32,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
128,2022-05-09 04:42:34,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
129,2022-05-09 04:42:35,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
130,2022-05-09 04:42:35,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
131,2022-05-09 04:42:36,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
132,2022-05-09 04:42:37,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
133,2022-05-09 04:42:41,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
134,2022-05-09 04:42:48,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
135,2022-05-09 04:42:49,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
136,2022-05-09 04:42:49,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
137,2022-05-09 04:42:51,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
138,2022-05-09 04:42:54,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
139,2022-05-09 04:42:56,"x =np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
140,2022-05-09 04:43:00,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
141,2022-05-09 04:43:03,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
142,2022-05-09 04:43:04,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
143,2022-05-09 04:43:07,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
144,2022-05-09 04:43:09,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
145,2022-05-09 04:43:11,"a, b = reg1dim(x, y)",NameError: name 'reg1dim' is not defined
146,2022-05-09 04:43:11,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
147,2022-05-09 04:43:11,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
148,2022-05-09 04:43:14,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
149,2022-05-09 04:43:17,x = np.x,AttributeError: module 'numpy' has no attribute 'x'
150,2022-05-09 04:43:25,"x = np.array[1,2,2,4,6,7]",TypeError: 'builtin_function_or_method' object is not subscriptable
151,2022-05-09 04:43:39,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
152,2022-05-09 04:45:16,"plt.plot(X,Y)",NameError: name 'X' is not defined
153,2022-05-09 04:45:29,"model.fit(x, y)","ValueError: Expected 2D array, got 1D array instead:
array=[-1].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
154,2022-05-09 04:45:52,"x = x.reshape(-1, 1) # sklearn 用に変形",AttributeError: 'list' object has no attribute 'reshape'
155,2022-05-09 04:46:23,"print(model.coef_, model.intercept_)",AttributeError: 'LinearRegression' object has no attribute 'coef_'
156,2022-05-09 04:46:33,"print(model.coef, model.intercept_)",AttributeError: 'LinearRegression' object has no attribute 'coef'
157,2022-05-09 04:50:15,array([19.94203311]),NameError: name 'array' is not defined
158,2022-05-09 04:50:19,X,NameError: name 'X' is not defined
159,2022-05-09 04:50:26,array([19.94203311]),NameError: name 'array' is not defined
160,2022-05-09 04:50:36,print(X.shape),NameError: name 'X' is not defined
161,2022-05-09 04:52:32,prrint(X.shape),NameError: name 'prrint' is not defined
162,2022-05-09 04:55:50,y = df['じゅうたく価格'],KeyError: 'じゅうたく価格'
163,2022-05-09 04:56:08,"model.fit(x, y)","ValueError: Expected 2D array, got 1D array instead:
array=[1 2 2 4 6 7].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
164,2022-05-09 04:56:28,"print('a=', model.coef_, 'b=', model.intercepy_)",AttributeError: 'LinearRegression' object has no attribute 'intercepy_'
165,2022-05-09 04:57:05,model.predict([(4.00)]),"ValueError: Expected 2D array, got 1D array instead:
array=[4.].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
166,2022-05-09 04:57:15,"model.fit(X,y)",ValueError: Unable to convert array of bytes/strings into decimal numbers with dtype='numeric'
167,2022-05-09 04:57:37,model.predict([(4.00)]),"ValueError: Expected 2D array, got 1D array instead:
array=[4.].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
168,2022-05-09 04:57:39,model.predict([(4.00)]),"ValueError: Expected 2D array, got 1D array instead:
array=[4.].
Reshape your data either using array.reshape(-1, 1) if your data has a single feature or array.reshape(1, -1) if it contains a single sample."
169,2022-05-09 04:57:44,"model.predict([(4.00,0)])","ValueError: X has 2 features, but LinearRegression is expecting 1 features as input."
170,2022-05-09 04:58:05,model.predict(),TypeError: predict() missing 1 required positional argument: 'X'
171,2022-05-09 04:58:33,model.predict(),TypeError: predict() missing 1 required positional argument: 'X'
172,2022-05-09 04:58:35,print(_pred),NameError: name '_pred' is not defined
173,2022-05-09 04:58:35,print(y_pred),NameError: name 'y_pred' is not defined
174,2022-05-09 04:58:36,print(y_pred),NameError: name 'y_pred' is not defined
175,2022-05-09 04:58:39,y_pred = model.predict(X),NotFittedError: This LinearRegression instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
176,2022-05-09 04:58:43,print(y_pred),NameError: name 'y_pred' is not defined
177,2022-05-09 04:58:47,y_pred = model.predict(X),NotFittedError: This LinearRegression instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
178,2022-05-09 04:58:52,print(y_pred),NameError: name 'y_pred' is not defined
179,2022-05-09 04:59:12,"model.fit(X, y)",ValueError: Unable to convert array of bytes/strings into decimal numbers with dtype='numeric'
180,2022-05-09 04:59:16,print(y_pred),NameError: name 'y_pred' is not defined
181,2022-05-09 04:59:19,print(y_pred),NameError: name 'y_pred' is not defined
182,2022-05-09 04:59:21,array([19.94203311]),NameError: name 'array' is not defined
183,2022-05-09 04:59:38,print(y_pred),NameError: name 'y_pred' is not defined
184,2022-05-09 04:59:44,array([19.94203311]),NameError: name 'array' is not defined
185,2022-05-09 04:59:44,y_pred = model.predict(X),NotFittedError: This LinearRegression instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
186,2022-05-09 05:00:00,print(Y),NameError: name 'Y' is not defined
187,2022-05-09 05:00:13,y_pred = model.predict(X),NotFittedError: This LinearRegression instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
188,2022-05-09 05:00:15,print(y_pred),NameError: name 'y_pred' is not defined
189,2022-05-09 05:00:33,y_pred = model.predict(X),NotFittedError: This LinearRegression instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
190,2022-05-09 05:01:10,y_pred = model.predict(X),NotFittedError: This LinearRegression instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
191,2022-05-09 05:01:17,y_pred = model.predict(X),NotFittedError: This LinearRegression instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
192,2022-05-09 05:01:23,"print('a=', model.coef_, ', b=', model.intercept_)",AttributeError: 'LinearRegression' object has no attribute 'coef_'
193,2022-05-09 05:01:31,"plt.figure(figsize(7,7))",NameError: name 'figsize' is not defined
194,2022-05-09 05:01:45,"plt.figure(figuresize(6,6))",NameError: name 'figuresize' is not defined
195,2022-05-09 05:01:54,"model.predict([(4.00,)])",NotFittedError: This LinearRegression instance is not fitted yet. Call 'fit' with appropriate arguments before using this estimator.
196,2022-05-09 05:02:26,"plt.scatter(y, y_pred, coloer = 'red', alpa = 0.3)",AttributeError: 'PathCollection' object has no property 'coloer'
197,2022-05-09 05:02:35,print(Y),NameError: name 'Y' is not defined
198,2022-05-09 05:03:15,"corr = pearsonr(df['工場'], df['住宅価格'])",NameError: name 'pearsonr' is not defined
199,2022-05-09 05:03:44,"corr = pearsonr(df[工場], df[住宅価格])",NameError: name 'pearsonr' is not defined
200,2022-05-09 05:04:22,"corr = pearsonr(df[""工場""], df[""住宅価格""])",NameError: name 'pearsonr' is not defined
201,2022-05-09 05:04:28,"plt.fighre(figsize=(6,6))",AttributeError: module 'matplotlib.pyplot' has no attribute 'fighre'
202,2022-05-09 05:04:51,"X = df[['通勤', '教員']]  # 説明変数","KeyError: ""['教員'] not in index"""
203,2022-05-09 05:05:11,"X = df['通勤', '教員']  # 説明変数","KeyError: ('通勤', '教員')"
204,2022-05-09 05:05:24,"X = df[['通勤', '教員']]  # 説明変数","KeyError: ""['教員'] not in index"""
205,2022-05-09 05:05:24,from slearn.metrics import r2_score,ModuleNotFoundError: No module named 'slearn'
206,2022-05-09 05:05:43,"X = df[[""通勤"", ""教員""]]  # 説明変数","KeyError: ""['教員'] not in index"""
207,2022-05-09 05:06:53,"corr = pearsonr(df[""工場""], df[""住宅価格""])",NameError: name 'pearsonr' is not defined
208,2022-05-09 05:07:09,"plt.figure(figsiza = (6,6))",TypeError: __init__() got an unexpected keyword argument 'figsiza'
209,2022-05-09 05:07:41,df(head),NameError: name 'head' is not defined
210,2022-05-09 05:07:55,"X = df[['通勤', '教員']]  # 説明変数","KeyError: ""['教員'] not in index"""
211,2022-05-09 05:09:01,X = df[['通勤時間']],"KeyError: ""None of [Index(['通勤時間'], dtype='object')] are in the [columns]"""
212,2022-05-09 05:09:10,X = df['通勤時間'],KeyError: '通勤時間'
213,2022-05-09 05:09:10,X = df[['通勤時間']],"KeyError: ""None of [Index(['通勤時間'], dtype='object')] are in the [columns]"""
214,2022-05-09 05:09:12,X = df[['通勤時間']]  # ひとつ選ぶ,"KeyError: ""None of [Index(['通勤時間'], dtype='object')] are in the [columns]"""
215,2022-05-09 05:09:20,"X = df[['通勤時間', '教員']]  # 説明変数","KeyError: ""None of [Index(['通勤時間', '教員'], dtype='object')] are in the [columns]"""
216,2022-05-09 05:09:26,X = df['通勤時間'],KeyError: '通勤時間'
217,2022-05-09 05:09:27,X = df['通勤時間']  # ひとつ選ぶ,KeyError: '通勤時間'
218,2022-05-09 05:09:39,X = df[['通勤時間']],"KeyError: ""None of [Index(['通勤時間'], dtype='object')] are in the [columns]"""
219,2022-05-09 05:09:52,X = df[['通勤時間']],"KeyError: ""None of [Index(['通勤時間'], dtype='object')] are in the [columns]"""
220,2022-05-09 05:10:02,X = df[['築年数']],"KeyError: ""None of [Index(['築年数'], dtype='object')] are in the [columns]"""
221,2022-05-09 05:10:30,X = df[['通勤時間']]  # ひとつ選ぶ,"KeyError: ""None of [Index(['通勤時間'], dtype='object')] are in the [columns]"""
222,2022-05-09 05:10:36,"plt.figure(fitsize=(6,6))",TypeError: __init__() got an unexpected keyword argument 'fitsize'
223,2022-05-09 05:10:40,"X = df[['通勤', '教員']]  # 説明変数","KeyError: ""['教員'] not in index"""
224,2022-05-09 05:10:45,X = df[['価格']]  # ひとつ選ぶ,"KeyError: ""None of [Index(['価格'], dtype='object')] are in the [columns]"""
225,2022-05-09 05:10:49,X = df[['教員']]  # 説明変数,"KeyError: ""None of [Index(['教員'], dtype='object')] are in the [columns]"""
226,2022-05-09 05:10:51,X = df[['犯罪']]  # ひとつ選ぶ,"KeyError: ""None of [Index(['犯罪'], dtype='object')] are in the [columns]"""
227,2022-05-09 05:10:59,"plt.figure(figsize(6,6))",NameError: name 'figsize' is not defined
228,2022-05-09 05:11:01,X = df['犯罪']  # ひとつ選ぶ,KeyError: '犯罪'
229,2022-05-09 05:11:14,"plt.figure(figsize=(6, 6))",NameError: name 'plt' is not defined
230,2022-05-09 05:11:16,X = df[['通勤時間']],"KeyError: ""None of [Index(['通勤時間'], dtype='object')] are in the [columns]"""
231,2022-05-09 05:11:16,"plt.figure(figsize=(6, 6))",NameError: name 'plt' is not defined
