TypeError: A() got an unexpected keyword argument B<sep>model = DecisionTreeRegressor(maxdeepth=3)	maxdeepthはスペルミス<sep>max_depth=...に直す
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<sep>y_pred = model.predict(x)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<sep>二重括弧をつけるか、reshape(-1,1)をつける
NameError: name A is not defined<sep>model = A()	Aが見つからない<sep>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
ValueError: invalid literal for A() with base B: C<sep>N=int(input())	入力データがない<sep>入力データを見直す
"FileNotFoundError: A No such file or directory: B<sep>X_train_numa_p = pd.read_csv(""B"")"	Bが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
ValueError: invalid literal for A() with base B: C<sep>s,t=map(int,input().split())	文字列'C'はint型に変換できない<sep>map(int,input().split())をmap(input().split())に直す
ValueError: could not convert string to float: A<sep>model.fit(X, y)	文字列を数値に変えないと処理できない<sep>文字列を数値に変えるデータ前処理を行う
KeyError: A<sep>sns.boxplot(x=df['A'], y=df['G3'])	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
FileNotFoundError: A No such file or directory: B<sep>X_train_numa_p = pd.read_csv('train_Numa_print.csv')	train_Numa_print.csvが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
TypeError: unsupported operand type(s) for /: A and B<sep>if X / 100 == 0:	Xが文字列型になっている<sep>Xの型を数値型にする
ValueError: x and y must be the same size<sep>plt.scatter(y, y_pred, c='red', alpha=0.3)	xとyが同じサイズでない<sep>xとyの大きさを確かめる
ValueError: Found input variables with inconsistent numbers of samples: A<sep>print('R2(訓練):', r2_score(y_train, model.predict(X_train)))	y_trainとmodel.predict(X_train)のデータの個数が異なる<sep>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
NameError: name A is not defined<sep>a=A.a	Aメソッドの呼び出し方が違う<sep>対象のリスト.A()の形式で書く
ValueError: not enough values to unpack (expected A, got B)<sep>N=a,b,c=map(int,input().split())	入力した値を入れる変数はB個あるけど、実際には1個しか入力されていない<sep>入力をB個に増やすか、変数を1個に減らそう
ValueError: Length mismatch: Expected axis has A elements, new values have B elements<sep>df_uid_all.columns = k_l_column	元のデータフレームは1561列だけど与えられた要素はB個ある<sep>要素を1561個にしよう
"KeyError: ""None of A are in the B""<sep>X = df[['教員']]  # 説明変数"	データフレームdfに列'教員'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
ValueError: not enough values to unpack (expected A, got B)<sep>a,b,c,d,x,y = map(int, input().split())	入力した値を入れる変数は6個あるけど、実際にはB個しか入力されていない<sep>入力を6個に増やすか、変数をB個に減らそう
NameError: name A is not defined<sep>model,A(X_train,y_train)	Aの使い方が違う<sep>カンマ, をピリオド. に直す
"UsageError: Cell magic A not found.<sep>get_ipython().run_cell_magic('atcoderhttps://atcoder.jp/contests/abc171/tasks/abc171_', '', ""s = 'A'\n'A' <= s <= 'Z'"")"	問題番号がない<sep>URLを見直してURLを正しく書く
NameError: name A is not defined<sep>if X%100==0 and X==A:	変数Aが見つからない<sep>A=...のように定義する
TypeError: A object is not callable<sep>a,b,c,d=map(A(),input().split())	Aの後の()が不要<sep>Aの後の()を削除する
TypeError: A is an invalid key<sep>X = df[['week'],['y'],['kcal']]	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
ValueError: Invalid RGBA argument: A<sep>sns.boxplot(x=df['性別'], y=df['G3'],color=['red','blue'])	一度に複数の色は指定できない<sep>colorを分けて指定する
AttributeError: A object has no attribute B<sep>if S.endwith('er'):	endswithのスペルが違う<sep>endwithをendswithに直す
NameError: name A is not defined<sep>A([19.94203311])	Aが見つからない<sep>np.Aにしてnumpy配列にする
NameError: name A is not defined<sep>max(A)	変数Aが見つからない<sep>A=...のように定義する
KeyError: A<sep>X = df['A']	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
TypeError: A() got an unexpected keyword argument B<sep>plt.figure(fitsize=(6,6))	figusizeではグラフのサイズを指定できない<sep>plt.figure(figsize=...)に直す
ValueError: invalid literal for A() with base B: C<sep>a,b,c,d=map(int,input().split())	'C'はint型に変換できない<sep>入力データを見直す
"KeyError: ""None of A are in the B""<sep>X = df[['築年数']]"	データフレームdfに列'築年数'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
KeyError: A<sep>df['A'].map({	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
ValueError: Found array with dim A. Estimator expected <= B.<sep>model.fit(X, y)	2次元以下の入力を予想したが、B次元のデータが入力された<sep>次元を見直す
EOFError:<sep>N=int(input())	入力データがない<sep>入力データを作る
KeyError: A<sep>df['A'].map({	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>print(f'{column} 決定係数(A):', A)	変数Aが見つからない<sep>A=...のように定義する
ValueError: invalid literal for A() with base B: C<sep>k=int(input())	文字列'C'はint型に変換できない<sep>int(input())をinput()に直す
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<sep>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<sep>二重括弧をつけるか、reshape(-1,1)をつける
ValueError: could not convert string to float: A<sep>model.fit(X_train,y_train)	このデータはそのまま処理できない<sep>文字列を数値に変えるデータ前処理を行う
IndexError: string index out of range<sep>s[1]	指定したindexは文字列にない<sep>文字列またはindexの値を見直す
TypeError: A is an invalid key<sep>X=df[[column],[b]]	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
NameError: name A is not defined<sep>print(A)	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>mi=[x for x in b if a[i]-ab<=A[i]+ab]	変数Aが見つからない<sep>A=...のように定義する
"KeyError: ""A not in index""<sep>X = df[['A','築年']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
"KeyError: ""A not in index""<sep>X = df[['A', '資産税']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<sep>SS[0].B(0)	appendのスペルが違う<sep>Bをappendに直す
ValueError: invalid literal for A() with base B: C<sep>A,B=map(int,input().split())	区切り文字の設定が','になっていない<sep>map(int,input().split())をmap(int,input().split(','))に直す
ValueError: invalid literal for A() with base B: C<sep>a,b= map(int,input().split())	文字列'C'はint型に変換できない<sep>map(int,input().split())をmap(input().split())に直す
NameError: name A is not defined<sep>model = A()	Aをimportしていない<sep>from sklearn.linear_model import Aする
NameError: name A is not defined<sep>X = df[df.columns[A,kcal,payday,temperature]]	変数Aが見つからない<sep>A=...のように定義する
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<sep>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<sep>二重括弧をつけるか、reshape(-1,1)をつける
AttributeError: A object has no attribute B<sep>for colum in df.B[:-1]:	データフレームには'B'という要素はない<sep>df.B[:-1]:をdf.columns[:-1]:に直す
NameError: name A is not defined<sep>model = A()	Aが見つからない<sep>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
ValueError: invalid literal for A() with base B: C<sep>N=int(input())	文字列''C'はint型に変換できない<sep>int(input())をinput()に直す
"KeyError: ""A not in index""<sep>X = df[['低所得率', 'A']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>plt.hist(df['性別'],df[A])	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>k_l_column = A + k_l_column	変数Aが見つからない<sep>A=...のように定義する
KeyError: A<sep>sns.boxplot(x=df['A'], y=df['G3'], order=order_by)	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
ValueError: invalid literal for A() with base B: C<sep>Num_list.aCCend(int(Data_list[i]))	文字列'C'はint型に変換できない<sep>(int(Data_list[i]))を(Data_list[i])に直す
KeyError: (A, B)<sep>X = df['y','B']	カラム名は1つしか指定できない<sep>2つ以上のカラムを取り出したい時には、二重括弧を使う
"KeyError: ""None of A are in the B""<sep>X = df[['低所得理宇t']]  # ひとつ選ぶ"	データフレームdfに列'低所得理宇t'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
TypeError: A() missing B required positional argument: C<sep>pd.value_counts()	value_countsは列を指定する必要がある<sep>df['列名'].value_counts()で要素数を数える
TypeError: A() got an unexpected keyword argument B<sep>model = DecisionTreeRegressor(maxdepth=3)	maxdepthはスペルミス<sep>max_depth=...に直す
NameError: name A is not defined<sep>X = df[[A]]	"列名をダブルクォテーション（""""）で囲んでいない<sep>""犯罪""のようにダブルクォーテーションで列名を囲む"
"KeyError: ""A not in index""<sep>df[['week','weather_num','temprature']]"	データフレームdfに列'weather_num', 'temprature'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
TypeError: object of type A has no B()<sep>if B(N)==4:	int型のオブジェクトにはBを使えない<sep>str型に変換する
NameError: name A is not defined<sep>SS.append(S[A])	変数Aが見つからない<sep>A=...のように定義する
ValueError: invalid literal for A() with base B: C<sep>S=int(input())	'C'はint型に変換できない<sep>int(input())をinput()に直す
TypeError: A() got an unexpected keyword argument B<sep>model = DecisionTreeRegressor(maxdeapth=3)	maxdeapthはスペルミス<sep>max_depth=...に直す
ValueError: Found input variables with inconsistent numbers of samples: A<sep>print('R2(テスト):', r2_score(y_test, y_pred))	y_testとy_predのデータの個数が異なる<sep>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
TypeError: unsupported operand type(s) for *: A and B<sep>print(x*y)	x,yがA型になっている<sep>x,yの型を数値型にする
NameError: name A is not defined<sep>mean_list_all = A(sample_list, df_keys['keys'])	変数Aが見つからない<sep>Aのスペルの確認やA=...で定義する
NameError: name A is not defined<sep>plt.scatter(A['部屋数'], A['住宅価格'])	データフレームAが見つからない<sep>データフレーム名を確認して直すか、新たにデータフレームを作る
"KeyError: ""A not in index""<sep>X = df[['A','kcal','payday','temperature', 'weather_num','week_num', 'precipitation_num','event_num','remarks_num']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<sep>ss.apend(chr(a)) #リストに追加	appendのスペルが違う<sep>apendをappendに直す
ImportError: cannot import name A from B C<sep>from C import Pipeline	import元が異なる<sep>from sklearn.pipeline import Pipelineでimportする
NameError: name A is not defined<sep>print(f'再現率 {A:.5f}')	変数Aが見つからない<sep>A=...のように定義する
AttributeError: A object has no property B<sep>plt.scatter(y, y_pred, coloer = 'red', alpa = 0.3)	colorのスペルが違う<sep>coloerをcolorに直す
AttributeError: type object A has no attribute B<sep>a = B.input()	B型のinput方法が異なる<sep>B(input())に直す
NameError: name A is not defined<sep>model = A(max_depth=3)	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>plt.scatter(y, A, c='red', alpha=0.3)	変数Aが見つからない<sep>A=...のように定義する
ValueError: invalid literal for A() with base B: C<sep>print(int('A',K))	文字列'A'はint型に変換できない<sep>print(int('A',K))をprint('A')に直す
TypeError: A is an invalid key<sep>X = df[[column], df[column]]	複数列を指定する際の個々の[]は不要<sep>df[[列名1,列名2,...]]にする
ValueError: Found array with dim A. Estimator expected <= B.<sep>model.fit(X, y)	2次元以下の入力を予想したが、B次元のデータが入力された<sep>次元を見直す
NameError: name A is not defined<sep>model = A()	Aが見つからない<sep>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
NameError: name A is not defined<sep>x,y = map(int,input()/split())	splitメソッドの呼び出し方が違う<sep>カンマを打つべきところがスラッシュになっている
NameError: name A is not defined<sep>if len(A[i][0]) != len(set(A[i+1][0])) and len(A[i][1]) != len(set(A[i+1][1])):	Aが見つからない<sep>Aを定義するまたはAを関数として使用
FileNotFoundError: A No such file or directory: B<sep>df = pd.read_csv('B')	Bが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name A is not defined<sep>df=A(150)	A単体で使用できない<sep>df.A()にする
AttributeError: A object has no attribute B<sep>print(r2.max())	リストに対するmaxの使い方が違う<sep>max(リスト名)にする
TypeError: A() got an unexpected keyword argument B<sep>plt.figure(figusize=(6,6))	figusizeではグラフのサイズを指定できない<sep>plt.figure(figsize=...)に直す
AttributeError: A object has no attribute B<sep>y_pred=model.preddict(X)	predictのスペルが違う<sep>preddictをpredictに直す
"UsageError: Cell magic A not found.<sep>get_ipython().run_cell_magic('actcoder', 'https://atcoder.jp/contests/abc168/tasks/abc168_b', 'K=int(input())\nS=str(input())\np=S[0:K]\ns=len(S)\nif s<=K:\n  print(S)\nelse:\n  print(p,end="""",\'...\')')"	%%atcoderのスペルが違う<sep>%%actcoderを%%atcoderに直す
TypeError: list indices must be integers or slices, not tuple<sep>print(s[1,2,0])	インデックスを並べてかけない<sep>print(s[1],s[2],s[0]) に直す
TypeError: range expected A arguments, got B<sep>for i in range():	for文の()の値が見つからない<sep>for i in range(iの範囲)にする
NameError: name A is not defined<sep>model = A(max_depth=depth)  # None 制限なし	Aがimportされていない<sep>from sklearn.svm import Aのようにimportする
ValueError: invalid literal for A() with base B: C<sep>N, X = map(int, input().split())	文字列'C'はint型に変換できない<sep>map(int,input().split())をmap(input().split())に直す
NameError: name A is not defined<sep>model = A()	Aが見つからない<sep>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
AttributeError: A object has no attribute B<sep>model.B(X,y)	model.fitのスペルが違う<sep>model.Bをmodel.fitに直す
ValueError: invalid literal for A() with base B: C<sep>A,B=map(int, input().split())	区切り文字の設定が','になっていない<sep>map(int,input().split())をmap(int,input().split(','))に直す
TypeError: A() got an unexpected keyword argument B<sep>model = DecisionTreeRegressor(model = DecisionTreeRegressor(max_depth=3))	modelの中でmodelは定義できない<sep>model = DecisionTreeRegressor()に直す
"KeyError: ""None of A are in the B""<sep>X_train = X_train_c1_a_05[[ 'p', 'r', 'i', 'n', 't', 'Shift', '(' ]]"	データフレームX_train_c1_a_05に列'p', 'r', 'i', 'n', 't', 'Shift', '('が見つからない<sep>列名あるいはデータフレーム名を確認して直す
TypeError: float expected at most A arguments, got B<sep>x=float(int,input().split())	Bつの変数に対してsplit()は不要<sep>変数の個数に合わせて、split()の有無を判断
TypeError: Neither the A nor B variable appears to be numeric.<sep>sns.boxplot(x=df['父職業'],y=['G3'],order=order_by)	y の書き方が違う<sep>y=df['G3'] に直す
"KeyError: ""A not in index""<sep>df[['week','A','temperature']]"	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<sep>X = df[[column, column2,A]] #1つ選ぶ	変数Aが見つからない<sep>A=...のように定義する
KeyError: A<sep>df['A']	データフレームdfに列'A'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
TypeError: A() argument B must be str, not int<sep>print(s.replace(B, 9).replace(9, B))	replaceは文字列を置換するときしか使えない<sep>引数を数値から文字列型に変換する
ValueError: invalid literal for A() with base B: C<sep>X=int(input())	'C'はint型に変換できない<sep>int(input())をfloat(input())に直す
TypeError: unsupported operand type(s) for -: A and B<sep>ans +=j *a[j]-sum_a	int型とB型の加算はできない<sep>import numpy as npをし、sum_aをnp.array(sum_a)に変換する
NameError: name A is not defined<sep>type(A)	変数Aが見つからない<sep>A=...のように定義する
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<sep>model.fit(X_train, y_train)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<sep>二重括弧をつけるか、reshape(-1,1)をつける
NameError: name A is not defined<sep>print(A)	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>ykn=(A*1.01)	変数Aが見つからない<sep>A=...のように定義する
ValueError: invalid literal for A() with base B: C<sep>k = int(input())	複数の入力データを読み込めない<sep>int(input())をmap(int,input().split())に直す
NameError: name A is not defined<sep>S, T = A(input())	関数Aは定義されていない<sep>関数Aを定義するまたはchrにする
NameError: name A is not defined<sep>S.rfind(A)	Aは文字列ではない<sep>A'と文字列にするか、A=...で定義する
NameError: name A is not defined<sep>y_train_pred= A.predict(X)	Aが見つからない<sep>A=...のように定義する
FileNotFoundError: A No such file or directory: B<sep>X_train_numa_p = pd.read_csv('~/desktop/OJT/numa-chan/train_Numa_print.csv')	/root/desktop/OJT/numa-chan/train_Numa_print.csvが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
AttributeError: A object has no attribute B<sep>df.B()	dfが整数型になっている<sep>pd.DataFrameやpd.read_csvを用いて、データフレーム型にする
NameError: name A is not defined<sep>for column in A.columns[:-1]:	変数Aが見つからない<sep>A=...のように定義する
NameError: name A is not defined<sep>x = A(list)	sortedのスペルが違う<sep>sortedに直す
NameError: name A is not defined<sep>A	データフレームAが見つからない<sep>データフレーム名を確認して直すか、新たにデータフレームを作る
"KeyError: ""A not found in axis""<sep>df.drop('A', axis=1, inplace=True)"	Aはタイプミス<sep>precipitationに直す
KeyError: A<sep>plt.boxplot([df['A'], df['通いやすさ'], df['評判の良さ']])	データフレームdfに列'A'は見つからない<sep>列名あるいはデータフレーム名を確認して直す
"KeyError: ""None of A are in the B""<sep>X = df[['通勤時間']]"	データフレームdfに列'通勤時間'が見つからない<sep>列名あるいはデータフレーム名を確認して直す
ValueError: invalid literal for A() with base B: C<sep>N = int(input())	複数の入力が読み込めない<sep>map(int,input().split())を使う
ValueError: Found input variables with inconsistent numbers of samples: A<sep>print('R2(テスト):', r2_score(y_test, y_pred))	y_testとy_predのデータの個数が異なる<sep>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
AttributeError: A object has no attribute B<sep>print(np.array(scores)).mean(())	print文は平均値を求められない<sep>()の数に注意する
NameError: name A is not defined<sep>A(C*a)	printのスペルが違う<sep>printに直す
"ValueError: Length mismatch: Expected axis has A elements, new values have B elements<sep>df_uid_pr.columns = [""uid"", ""p"", ""r"", ""i"", ""n"", ""t"", ""Shift"", ""(""]"	元のデータフレームはB列だけど与えられた要素は8個しかない<sep>要素をB個にしよう
FileNotFoundError: A No such file or directory: B<sep>X_train_numa_p = pd.read_csv('my-drive/nuna-chan/train_Numa_print.csv')	my-drive/nuna-chan/train_Numa_print.csvが見つからない<sep>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
TypeError: A not supported between instances of B and C<sep>if int(A) <= i <= int(B):	int型とC型で比較演算子は使えない<sep>型を揃えて比較する
TypeError: A not supported between instances of B and C<sep>if X[-3]<=4:	C型とint型で比較演算子は使えない<sep>型を揃えて比較する
NameError: name A is not defined<sep>model.fit(A,y_train)	変数Aが見つからない<sep>A=...のように定義する
AttributeError: A object has no attribute B<sep>model.B	importances_のスペルが違う<sep>impotences_をimportances_に直す
NameError: name A is not defined<sep>model = A()	Aはスペルミス<sep>RANSACRegressor()に直す
NameError: name A is not defined<sep>print('name の訓練データ数：',len(A))	変数Aが見つからない<sep>A=...のように定義する
"ValueError: invalid literal for A() with base B: C<sep>l=[int(input()).split("" "") for i in range(x)]"	複数の入力に対してmap関数が不足<sep>map(型,input().split())で複数の入力ができる
