TypeError: A object is not callable<tab>X = df(['通勤', '教員'])  # 説明変数	データフレームからのデータの抽出方法が違う<tab>丸かっこ () を角かっこ [] に直す
AttributeError: A object has no attribute B<tab>model.B	importances_のスペルが違う<tab>inportances_をimportances_に直す
"KeyError: ""None of A are in the B""<tab>X = df[['犯罪数']]"	データフレームdfに列'犯罪数'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>pred_sub = A - pred	変数Aが見つからない<tab>A...のように定義する
NameError: name A is not defined<tab>X = df[[A]]	変数Aが見つからない<tab>変数Aを定義する
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>y_pred = model.predict(x)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
NameError: name A is not defined<tab>model = A()	Aが見つからない<tab>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
ValueError: invalid literal for A() with base B: C<tab>N=B(input())	入力データがない<tab>入力データを見直す
"FileNotFoundError: A No such file or directory: B<tab>X_train_numa_p = pd.read_csv(""A"")"	Aが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
ValueError: invalid literal for A() with base B: C<tab>s,t=map(C,input().split())	文字列'oder'はC型に変換できない<tab>map(C,input().split())をmap(input().split())に直す
ValueError: could not convert string to float: A<tab>model.fit(X, y)	文字列を数値に変えないと処理できない<tab>文字列を数値に変えるデータ前処理を行う
KeyError: A<tab>sns.boxplot(x=df['A'], y=df['G3'])	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
FileNotFoundError: A No such file or directory: B<tab>X_train_numa_p = pd.read_csv('B')	Bが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
TypeError: unsupported operand type(s) for /: A and B<tab>if X / 100 == 0:	Xが文字列型になっている<tab>Xの型を数値型にする
ValueError: x and y must be the same size<tab>plt.scatter(y, y_pred, c='red', alpha=0.3)	xとyが同じサイズでない<tab>xとyの大きさを確かめる
ValueError: Found input variables with inconsistent numbers of samples: A<tab>print('R2(訓練):', r2_score(y_train, model.predict(X_train)))	y_trainとmodel.predict(X_train)のデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
NameError: name A is not defined<tab>a=A.a	Aメソッドの呼び出し方が違う<tab>対象のリスト.A()の形式で書く
ValueError: not enough values to unpack (expected A, got B)<tab>N=a,b,c=map(int,input().split())	入力した値を入れる変数はB個あるけど、実際には1個しか入力されていない<tab>入力をB個に増やすか、変数を1個に減らそう
ValueError: Length mismatch: Expected axis has A elements, new values have B elements<tab>df_uid_all.columns = k_l_column	元のデータフレームはB列だけど与えられた要素は1601個ある<tab>要素をB個にしよう
"KeyError: ""None of A are in the B""<tab>X = df[['教員']]  # 説明変数"	データフレームdfに列'教員'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: not enough values to unpack (expected A, got B)<tab>a,b,c,d,x,y = map(int, input().split())	入力した値を入れる変数はB個あるけど、実際には4個しか入力されていない<tab>入力をB個に増やすか、変数を4個に減らそう
NameError: name A is not defined<tab>model,A(X_train,y_train)	Aの使い方が違う<tab>カンマ, をピリオド. に直す
"UsageError: Cell magic A not found.<tab>get_ipython().run_cell_magic('atcoderhttps://atcoder.jp/contests/abc171/tasks/abc171_', '', ""s = 'A'\n'A' <= s <= 'Z'"")"	問題番号がない<tab>URLを見直してURLを正しく書く
NameError: name A is not defined<tab>if X%100==0 and X==A:	変数Aが見つからない<tab>A=...のように定義する
TypeError: A object is not callable<tab>a,b,c,d=map(A(),input().split())	Aの後の()が不要<tab>Aの後の()を削除する
TypeError: A is an invalid key<tab>X = df[['week'],['y'],['kcal']]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
ValueError: Invalid RGBA argument: A<tab>sns.boxplot(x=df['性別'], y=df['G3'],color=['red','blue'])	一度に複数の色は指定できない<tab>colorを分けて指定する
AttributeError: A object has no attribute B<tab>if S.A('er'):	endswithのスペルが違う<tab>Aをendswithに直す
NameError: name A is not defined<tab>A([19.94203311])	Aが見つからない<tab>np.Aにしてnumpy配列にする
NameError: name A is not defined<tab>max(A)	変数Aが見つからない<tab>A=...のように定義する
KeyError: A<tab>X = df['A']	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: A() got an unexpected keyword argument B<tab>plt.figure(B=(6,6))	figusizeではグラフのサイズを指定できない<tab>plt.figure(figsize=...)に直す
ValueError: invalid literal for A() with base B: C<tab>a,b,c,d=map(C,input().split())	'1]'はC型に変換できない<tab>入力データを見直す
"KeyError: ""None of A are in the B""<tab>X = df[['築年数']]"	データフレームdfに列'築年数'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
KeyError: A<tab>df['A'].map({	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: Found array with dim A. Estimator expected <= B.<tab>model.fit(X, y)	2次元以下の入力を予想したが、B次元のデータが入力された<tab>次元を見直す
EOFError:<tab>N=int(input())	入力データがない<tab>入力データを作る
KeyError: A<tab>df['A'].map({	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>print(f'{column} 決定係数(A):', A)	変数Aが見つからない<tab>A=...のように定義する
ValueError: invalid literal for A() with base B: C<tab>k=C(input())	文字列'nikoandsolstice'はC型に変換できない<tab>C(input())をinput()に直す
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-C,C)をつける
ValueError: could not convert string to float: A<tab>model.fit(X_train,y_train)	このデータはそのまま処理できない<tab>文字列を数値に変えるデータ前処理を行う
IndexError: string index out of range<tab>s[1]	指定したindexは文字列にない<tab>文字列またはindexの値を見直す
TypeError: A is an invalid key<tab>X=df[[column],[b]]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
NameError: name A is not defined<tab>print(A)	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>mi=[x for x in b if a[i]-ab<=A[i]+ab]	変数Aが見つからない<tab>A=...のように定義する
"KeyError: ""A not in index""<tab>X = df[['A','築年']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""A not in index""<tab>X = df[['A', '資産税']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<tab>SS[0].B(0)	appendのスペルが違う<tab>Bをappendに直す
ValueError: invalid literal for A() with base B: C<tab>A,B=map(C,input().split())	区切り文字の設定が','になっていない<tab>map(C,input().split())をmap(C,input().split(','))に直す
ValueError: invalid literal for A() with base B: C<tab>a,b= map(C,input().split())	文字列'coder'はC型に変換できない<tab>map(C,input().split())をmap(input().split())に直す
NameError: name A is not defined<tab>model = A()	Aをimportしていない<tab>from sklearn.linear_model import Aする
NameError: name A is not defined<tab>X = df[df.columns[A,kcal,payday,temperature]]	変数Aが見つからない<tab>A=...のように定義する
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X, y)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
AttributeError: A object has no attribute B<tab>for colum in df.B[:-1]:	データフレームには'B'という要素はない<tab>df.B[:-1]:をdf.columns[:-1]:に直す
NameError: name A is not defined<tab>model = A()	Aが見つからない<tab>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
ValueError: invalid literal for A() with base B: C<tab>N=C(input())	文字列''B'はC型に変換できない<tab>C(input())をinput()に直す
"KeyError: ""A not in index""<tab>X = df[['低所得率', 'A']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>plt.hist(df['性別'],df[A])	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>k_l_column = A + k_l_column	変数Aが見つからない<tab>A=...のように定義する
KeyError: A<tab>sns.boxplot(x=df['A'], y=df['G3'], order=order_by)	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: invalid literal for A() with base B: C<tab>Num_list.append(C(Data_list[i]))	文字列'p'はC型に変換できない<tab>(C(Data_list[i]))を(Data_list[i])に直す
KeyError: (A, B)<tab>X = df['B','soldout']	カラム名は1つしか指定できない<tab>2つ以上のカラムを取り出したい時には、二重括弧を使う
"KeyError: ""None of A are in the B""<tab>X = df[['低所得理宇t']]  # ひとつ選ぶ"	データフレームdfに列'低所得理宇t'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: A() missing B required positional argument: C<tab>pd.C()	Cは列を指定する必要がある<tab>df['列名'].C()で要素数を数える
TypeError: A() got an unexpected keyword argument B<tab>model = DecisionTreeRegressor(B=3)	Bはスペルミス<tab>max_depth=...に直す
NameError: name A is not defined<tab>X = df[[A]]	"列名をダブルクォテーション（""""）で囲んでいない<tab>""犯罪""のようにダブルクォーテーションで列名を囲む"
"KeyError: ""A not in index""<tab>df[['week','weather_num','temprature']]"	データフレームdfに列'weather_num', 'temprature'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: object of type A has no B()<tab>if A(N)==4:	B型のオブジェクトにはlenを使えない<tab>str型に変換する
NameError: name A is not defined<tab>SS.append(S[A])	変数Aが見つからない<tab>A=...のように定義する
ValueError: invalid literal for A() with base B: C<tab>S=C(input())	'abc'はC型に変換できない<tab>C(input())をinput()に直す
TypeError: A() got an unexpected keyword argument B<tab>model = DecisionTreeRegressor(A=3)	Aはスペルミス<tab>max_depth=...に直す
ValueError: Found input variables with inconsistent numbers of samples: A<tab>print('R2(テスト):', r2_score(y_test, y_pred))	y_testとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
TypeError: unsupported operand type(s) for *: A and B<tab>print(x*y)	x,yがA型になっている<tab>x,yの型を数値型にする
NameError: name A is not defined<tab>mean_list_all = A(sample_list, df_keys['keys'])	変数Aが見つからない<tab>Aのスペルの確認やA=...で定義する
NameError: name A is not defined<tab>plt.scatter(A['部屋数'], A['住宅価格'])	データフレームAが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
"KeyError: ""A not in index""<tab>X = df[['A','kcal','payday','temperature', 'weather_num','week_num', 'precipitation_num','event_num','remarks_num']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
AttributeError: A object has no attribute B<tab>ss.B(chr(a)) #リストに追加	appendのスペルが違う<tab>Bをappendに直す
ImportError: cannot import name A from B C<tab>from sklearn.ensemble import C	import元が異なる<tab>from sklearn.pipeline import Cでimportする
NameError: name A is not defined<tab>print(f'再現率 {A:.5f}')	変数Aが見つからない<tab>A=...のように定義する
AttributeError: A object has no property B<tab>plt.scatter(y, y_pred, A = 'red', alpa = 0.3)	colorのスペルが違う<tab>Aをcolorに直す
AttributeError: type object A has no attribute B<tab>a = B.input()	B型のinput方法が異なる<tab>B(input())に直す
NameError: name A is not defined<tab>model = A(max_depth=3)	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>plt.scatter(y, A, c='red', alpha=0.3)	変数Aが見つからない<tab>A=...のように定義する
ValueError: invalid literal for A() with base B: C<tab>prC(C('A',K))	文字列'A'はC型に変換できない<tab>prC(C('A',K))をprC('A')に直す
TypeError: A is an invalid key<tab>X = df[[column], df[column]]	複数列を指定する際の個々の[]は不要<tab>df[[列名1,列名2,...]]にする
ValueError: Found array with dim A. Estimator expected <= B.<tab>model.fit(X, y)	2次元以下の入力を予想したが、B次元のデータが入力された<tab>次元を見直す
NameError: name A is not defined<tab>model = A()	Aが見つからない<tab>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
NameError: name A is not defined<tab>x,y = map(int,input()/split())	splitメソッドの呼び出し方が違う<tab>カンマを打つべきところがスラッシュになっている
NameError: name A is not defined<tab>if len(A[i][0]) != len(set(A[i+1][0])) and len(A[i][1]) != len(set(A[i+1][1])):	Aが見つからない<tab>Aを定義するまたはAを関数として使用
FileNotFoundError: A No such file or directory: B<tab>df = pd.read_csv('B')	Bが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
NameError: name A is not defined<tab>df=A(150)	A単体で使用できない<tab>df.A()にする
AttributeError: A object has no attribute B<tab>print(r2.B())	リストに対するBの使い方が違う<tab>B(リスト名)にする
TypeError: A() got an unexpected keyword argument B<tab>plt.figure(A=(6,6))	Aではグラフのサイズを指定できない<tab>plt.figure(figsize=...)に直す
AttributeError: A object has no attribute B<tab>y_pred=model.B(X)	predictのスペルが違う<tab>Bをpredictに直す
"UsageError: Cell magic A not found.<tab>get_ipython().run_cell_magic('actcoder', 'https://atcoder.jp/contests/abc168/tasks/abc168_b', 'K=int(input())\nS=str(input())\np=S[0:K]\ns=len(S)\nif s<=K:\n  print(S)\nelse:\n  print(p,end="""",\'...\')')"	%%atcoderのスペルが違う<tab>%%actcoderを%%atcoderに直す
TypeError: list indices must be integers or slices, not tuple<tab>print(s[1,2,0])	インデックスを並べてかけない<tab>print(s[1],s[2],s[0]) に直す
TypeError: range expected A arguments, got B<tab>for i in range():	for文の()の値が見つからない<tab>for i in range(iの範囲)にする
NameError: name A is not defined<tab>model = A(max_depth=depth)  # None 制限なし	Aがimportされていない<tab>from sklearn.svm import Aのようにimportする
ValueError: invalid literal for A() with base B: C<tab>N, X = map(C, input().split())	文字列'xox'はC型に変換できない<tab>map(C,input().split())をmap(input().split())に直す
NameError: name A is not defined<tab>model = A()	Aが見つからない<tab>from sklearn.tree import DecisionTreeRegressorしてDecisionTreeRegressorと書く
AttributeError: A object has no attribute B<tab>model.B(X,y)	model.fitのスペルが違う<tab>model.Bをmodel.fitに直す
ValueError: invalid literal for A() with base B: C<tab>A,B=map(C, input().split())	区切り文字の設定が','になっていない<tab>map(C,input().split())をmap(C,input().split(','))に直す
TypeError: A() got an unexpected keyword argument B<tab>A = DecisionTreeRegressor(A = DecisionTreeRegressor(max_depth=3))	Aの中でAは定義できない<tab>A = DecisionTreeRegressor()に直す
"KeyError: ""None of A are in the B""<tab>X_train = X_train_c1_a_05[[ 'p', 'r', 'i', 'n', 't', 'Shift', '(' ]]"	データフレームX_train_c1_a_05に列'p', 'r', 'i', 'n', 't', 'Shift', '('が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: float expected at most A arguments, got B<tab>x=float(int,input().split())	Aつの変数に対してsplit()は不要<tab>変数の個数に合わせて、split()の有無を判断
TypeError: Neither the A nor B variable appears to be numeric.<tab>sns.boxplot(x=df['父職業'],y=['G3'],order=order_by)	y の書き方が違う<tab>y=df['G3'] に直す
"KeyError: ""A not in index""<tab>df[['week','A','temperature']]"	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
NameError: name A is not defined<tab>X = df[[column, column2,A]] #1つ選ぶ	変数Aが見つからない<tab>A=...のように定義する
KeyError: A<tab>df['A']	データフレームdfに列'A'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
TypeError: A() argument B must be str, not int<tab>print(s.B(1, 9).B(9, 1))	Bは文字列を置換するときしか使えない<tab>引数を数値から文字列型に変換する
ValueError: invalid literal for A() with base B: C<tab>X=C(input())	'3.456'はC型に変換できない<tab>C(input())をfloat(input())に直す
TypeError: unsupported operand type(s) for -: A and B<tab>ans +=j *a[j]-sum_a	B型とlist型の加算はできない<tab>import numpy as npをし、sum_aをnp.array(sum_a)に変換する
NameError: name A is not defined<tab>type(A)	変数Aが見つからない<tab>A=...のように定義する
ValueError: Expected 2D array, got 1D array instead:Aarray=B.CReshape your data either using array.reshape(-D, E) if your data has a single feature or array.reshape(F, -G) if it contains a single sample.<tab>model.fit(X_train, y_train)	sklearnのfit()では、DataFrame型やnumpyの行列形式（縦ベクトル）しか使用できない<tab>二重括弧をつけるか、reshape(-A,A)をつける
NameError: name A is not defined<tab>print(A)	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>ykn=(A*1.01)	変数Aが見つからない<tab>A=...のように定義する
ValueError: invalid literal for A() with base B: C<tab>k = C(input())	複数の入力データを読み込めない<tab>C(input())をmap(C,input().split())に直す
NameError: name A is not defined<tab>S, T = A(input())	関数Aは定義されていない<tab>関数Aを定義するまたはchrにする
NameError: name A is not defined<tab>S.rfind(A)	Aは文字列ではない<tab>A'と文字列にするか、A=...で定義する
NameError: name A is not defined<tab>y_train_pred= A.predict(X)	Aが見つからない<tab>A=...のように定義する
FileNotFoundError: A No such file or directory: B<tab>X_train_numa_p = pd.read_csv('~/desktop/OJT/numa-chan/train_Numa_print.csv')	Bが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
AttributeError: A object has no attribute B<tab>df.A()	dfが整数型になっている<tab>pd.DataFrameやpd.read_csvを用いて、データフレーム型にする
NameError: name A is not defined<tab>for column in A.columns[:-1]:	変数Aが見つからない<tab>A=...のように定義する
NameError: name A is not defined<tab>x = A(list)	sortedのスペルが違う<tab>sortedに直す
NameError: name A is not defined<tab>A	データフレームAが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
"KeyError: ""A not found in axis""<tab>df.drop('A', axis=1, inplace=True)"	Aはタイプミス<tab>precipitationに直す
KeyError: A<tab>plt.boxplot([df['A'], df['通いやすさ'], df['評判の良さ']])	データフレームdfに列'A'は見つからない<tab>列名あるいはデータフレーム名を確認して直す
"KeyError: ""None of A are in the B""<tab>X = df[['通勤時間']]"	データフレームdfに列'通勤時間'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
ValueError: invalid literal for A() with base B: C<tab>N = C(input())	複数の入力が読み込めない<tab>map(C,input().split())を使う
ValueError: Found input variables with inconsistent numbers of samples: A<tab>print('R2(テスト):', r2_score(y_test, y_pred))	y_testとy_predのデータの個数が異なる<tab>len(データフレーム名[列名])でそれぞれのデータの個数を確認する
AttributeError: A object has no attribute B<tab>print(np.array(scores)).B(())	print文は平均値を求められない<tab>()の数に注意する
NameError: name A is not defined<tab>A(C*a)	printのスペルが違う<tab>printに直す
"ValueError: Length mismatch: Expected axis has A elements, new values have B elements<tab>df_uid_pr.columns = [""uid"", ""p"", ""r"", ""i"", ""n"", ""t"", ""Shift"", ""(""]"	元のデータフレームはB列だけど与えられた要素は8個しかない<tab>要素をB個にしよう
FileNotFoundError: A No such file or directory: B<tab>X_train_numa_p = pd.read_csv('B')	Bが見つからない<tab>ファイルのダウンロードし、ファイル名やファイルパスを確認をする
TypeError: A not supported between instances of B and C<tab>if C(A) <= i <= C(B):	C型とNoneType型で比較演算子は使えない<tab>型を揃えて比較する
TypeError: A not supported between instances of B and C<tab>if X[-3]A4:	str型とC型で比較演算子は使えない<tab>型を揃えて比較する
NameError: name A is not defined<tab>model.fit(A,y_train)	変数Aが見つからない<tab>A=...のように定義する
AttributeError: A object has no attribute B<tab>model.B	importances_のスペルが違う<tab>impotences_をimportances_に直す
NameError: name A is not defined<tab>model = A()	Aはスペルミス<tab>RANSACRegressor()に直す
NameError: name A is not defined<tab>print('name の訓練データ数：',len(A))	変数Aが見つからない<tab>A=...のように定義する
"ValueError: invalid literal for A() with base B: C<tab>l=[C(input()).split("" "") for i in range(x)]"	複数の入力に対してmap関数が不足<tab>map(型,input().split())で複数の入力ができる
NameError: name A is not defined<tab>if A(K)>A(S):	lenのスペルが違う<tab>lenに直す
NameError: name A is not defined<tab>X_train_pr_name = pd.DataFrame(A)	データフレームAが見つからない<tab>データフレーム名を確認して直すか、新たにデータフレームを作る
TypeError: A() takes at most B arguments (C given)<tab>S,T,U,V=C(s,t,u,v)	C関数は1つの値にしかできていません<tab>C(1つの値)またC([複数の値])で文字列に変換する
"KeyError: ""None of A are in the B""<tab>X = df[['黒人']]"	データフレームdfに列'黒人'が見つからない<tab>列名あるいはデータフレーム名を確認して直す
